ENSEMBL_GENE	SYMBOL	ENSEMBL_PROTEIN	ENSEMBL_TRANSCRIPT
ENSG00000134323	MYCN	ENSP00000281043	ENST00000281043
ENSG00000119772	DNMT3A	ENSP00000264709	ENST00000264709
ENSG00000143970	ASXL2	ENSP00000391447	ENST00000435504
ENSG00000171094	ALK	ENSP00000373700	ENST00000389048
ENSG00000115760	BIRC6	ENSP00000393596	ENST00000421745
ENSG00000115904	SOS1	ENSP00000384675	ENST00000402219
ENSG00000116016	EPAS1	ENSP00000263734	ENST00000263734
ENSG00000138081	FBXO11	ENSP00000384823	ENST00000403359
ENSG00000119866	BCL11A	ENSP00000496168	ENST00000642384
ENSG00000082898	XPO1	ENSP00000384863	ENST00000401558
ENSG00000169564	PCBP1	ENSP00000305556	ENST00000303577
ENSG00000066032	CTNNA2	ENSP00000384638	ENST00000402739
ENSG00000121152	NCAPH	ENSP00000240423	ENST00000240423
ENSG00000153165	RGPD3	ENSP00000386588	ENST00000409886
ENSG00000153201	RANBP2	ENSP00000283195	ENST00000283195
ENSG00000163161	ERCC3	ENSP00000285398	ENST00000285398
ENSG00000121966	CXCR4	ENSP00000386884	ENST00000409817
ENSG00000168702	LRP1B	ENSP00000374135	ENST00000389484
ENSG00000121989	ACVR2A	ENSP00000241416	ENST00000241416
ENSG00000115170	ACVR1	ENSP00000405004	ENST00000434821
ENSG00000116044	NFE2L2	ENSP00000380252	ENST00000397062
ENSG00000138448	ITGAV	ENSP00000261023	ENST00000261023
ENSG00000115524	SF3B1	ENSP00000335321	ENST00000335508
ENSG00000064012	CASP8	ENSP00000351273	ENST00000358485
ENSG00000138413	IDH1	ENSP00000390265	ENST00000415913
ENSG00000178568	ERBB4	ENSP00000342235	ENST00000342788
ENSG00000138376	BARD1	ENSP00000260947	ENST00000260947
ENSG00000115414	FN1	ENSP00000346839	ENST00000354785
ENSG00000144580	CNOT9	ENSP00000486540	ENST00000627282
ENSG00000123983	ACSL3	ENSP00000350012	ENST00000357430
ENSG00000036257	CUL3	ENSP00000264414	ENST00000264414
ENSG00000079263	SP140	ENSP00000375899	ENST00000392045
ENSG00000187514	PTMA	ENSP00000344547	ENST00000341369
ENSG00000144481	TRPM8	ENSP00000323926	ENST00000324695
ENSG00000144476	ACKR3	ENSP00000272928	ENST00000272928
ENSG00000163359	COL6A3	ENSP00000295550	ENST00000295550
ENSG00000068024	HDAC4	ENSP00000264606	ENST00000345617
ENSG00000198053	SIRPA	ENSP00000478763	ENST00000622179
ENSG00000101343	CRNKL1	ENSP00000366557	ENST00000377340
ENSG00000125798	FOXA2	ENSP00000400341	ENST00000419308
ENSG00000171456	ASXL1	ENSP00000364839	ENST00000375687
ENSG00000131051	RBM39	ENSP00000253363	ENST00000253363
ENSG00000101347	SAMHD1	ENSP00000493536	ENST00000646673
ENSG00000198900	TOP1	ENSP00000354522	ENST00000361337
ENSG00000124181	PLCG1	ENSP00000244007	ENST00000244007
ENSG00000196090	PTPRT	ENSP00000362294	ENST00000373198
